"","accession_all","Freq"
"1","NR_179975.1",633
"2","NR_144606.1",166
"3","NR_147396.1",129
"4","NR_170508.1",109
"5","NR_181198.1",85
"6","NR_180833.1",83
"7","NR_181880.1",74
"8","NR_144696.1",72
"9","NR_028785.1",62
"10","NR_026491.1",55
"11","NR_180431.1",55
"12","NR_180825.1",54
"13","NR_144616.1",50
"14","NR_197729.1",36
"15","NR_144611.1",35
"16","NR_144736.1",34
"17","NR_178255.1",31
"18","NR_179173.1",26
"19","NR_156079.1",23
"20","NR_179587.1",22
"21","NR_200000.1",21
"22","NR_156081.1",18
"23","NR_026493.1",18
"24","NR_027557.1",18
"25","NR_156078.1",17
"26","NR_156080.1",17
"27","NR_117758.1",16
"28","NR_181395.1",14
"29","NR_199906.1",13
"30","NR_043680.1",12
"31","NR_180717.1",12
"32","NR_181393.1",12
"33","NR_102852.1",12
"34","NR_042367.1",12
"35","NR_114391.1",12
"36","NR_112689.1",12
"37","NR_133762.1",11
"38","NR_115211.1",11
"39","NR_197731.1",10
"40","NR_199990.1",10
"41","NR_028607.1",9
"42","NR_179410.1",9
"43","NR_156077.1",9
"44","NR_165013.1",9
"45","NR_026204.1",8
"46","NR_180399.1",8
"47","NR_026494.1",7
"48","NR_173697.1",7
"49","NR_112752.1",7
"50","NR_117905.1",6
"51","NR_025796.1",6
"52","NR_043441.2",6
"53","NR_179631.1",6
"54","NR_041610.1",6
"55","NR_042231.1",6
"56","NR_074436.1",5
"57","NR_042817.1",5
"58","NR_042200.1",5
"59","NR_144749.1",5
"60","NR_118554.1",5
"61","NR_180048.1",5
"62","NR_024917.1",5
"63","NR_199462.1",5
"64","NR_041920.1",5
"65","NR_026310.1",5
"66","NR_117375.1",5
"67","NR_027558.1",4
"68","NR_037116.1",4
"69","NR_104735.1",4
"70","NR_125548.1",4
"71","NR_181344.1",4
"72","NR_025371.1",4
"73","NR_119069.1",4
"74","NR_181430.1",4
"75","NR_144609.1",3
"76","NR_179296.1",3
"77","NR_112931.1",3
"78","NR_119165.1",3
"79","NR_042499.1",3
"80","NR_043442.2",3
"81","NR_179423.1",3
"82","NR_075051.2",3
"83","NR_117574.1",3
"84","NR_179379.1",3
"85","NR_181345.1",3
"86","NR_181346.1",3
"87","NR_026309.1",3
"88","NR_113820.1",3
"89","NR_075036.1",3
"90","NR_181347.1",3
"91","NR_025670.1",3
"92","NR_147370.1",3
"93","NR_112089.1",2
"94","NR_119285.1",2
"95","NR_044713.2",2
"96","NR_025651.1",2
"97","NR_112940.1",2
"98","NR_026167.1",2
"99","NR_178356.1",2
"100","NR_044048.1",2
"101","NR_144608.1",2
"102","NR_024570.1",2
"103","NR_104737.1",2
"104","NR_148620.1",2
"105","NR_104899.1",2
"106","NR_117573.1",2
"107","NR_027206.1",2
"108","NR_157747.1",2
"109","NR_201926.1",2
"110","NR_199415.1",2
"111","NR_026100.1",1
"112","NR_112654.1",1
"113","NR_042637.1",1
"114","NR_118044.1",1
"115","NR_028835.1",1
"116","NR_041313.1",1
"117","NR_112947.1",1
"118","NR_174235.1",1
"119","NR_201917.1",1
"120","NR_043437.1",1
"121","NR_145535.1",1
"122","NR_180397.1",1
"123","NR_109014.1",1
"124","NR_026347.1",1
"125","NR_180797.1",1
"126","NR_026020.1",1
"127","NR_028883.1",1
"128","NR_170509.1",1
"129","NR_144737.1",1
"130","NR_112558.1",1
"131","NR_027549.1",1
"132","NR_136472.1",1
"133","NR_156907.1",1
"134","NR_036928.1",1
"135","NR_119068.1",1
"136","NR_197643.1",1
"137","NR_037068.1",1
"138","NR_179257.1",1
"139","NR_044507.1",1
"140","NR_043551.1",1
"141","NR_181429.1",1
"142","NR_144615.1",1
"143","NR_179276.1",1
"144","NR_118690.1",1
"145","NR_157642.1",1
"146","NR_144617.1",1
"147","NR_179976.1",1
"148","NR_025390.1",1
"149","NR_179227.1",1
"150","NR_199514.1",1
"151","NR_113647.1",1
"152","NR_179450.1",1
"153","NR_156987.1",1
"154","NR_179481.1",1
"155","NR_028986.1",1
"156","NR_114595.1",1
"157","NR_028987.1",1
"158","NR_104826.1",1
"159","NR_181392.1",1
"160","NR_180986.1",1
"161","NR_132708.1",0
"162","NR_178232.1",0
"163","NR_042871.1",0
"164","NR_125532.1",0
"165","NR_126322.1",0
"166","NR_126321.1",0
"167","NR_126323.1",0
"168","NR_133700.1",0
"169","NR_028707.1",0
"170","NR_075008.1",0
"171","NR_036986.1",0
"172","NR_121686.1",0
"173","NR_125639.1",0
"174","NR_036806.1",0
"175","NR_170496.1",0
"176","NR_025874.1",0
"177","NR_025873.1",0
"178","NR_118651.1",0
"179","NR_044624.1",0
"180","NR_026151.1",0
"181","NR_024993.1",0
"182","NR_118669.1",0
"183","NR_024719.1",0
"184","NR_029164.1",0
"185","NR_114789.1",0
"186","NR_029355.1",0
"187","NR_029248.1",0
"188","NR_119085.1",0
"189","NR_112051.1",0
"190","NR_118730.1",0
"191","NR_117379.1",0
"192","NR_144579.1",0
"193","NR_104943.1",0
"194","NR_025078.1",0
"195","NR_125708.1",0
"196","NR_179668.1",0
"197","NR_036993.1",0
"198","NR_118779.1",0
"199","NR_026106.1",0
"200","NR_118780.1",0
"201","NR_036949.1",0
"202","NR_118778.1",0
"203","NR_026031.1",0
"204","NR_118675.1",0
"205","NR_104843.1",0
"206","NR_115259.1",0
"207","NR_115260.1",0
"208","NR_104891.1",0
"209","NR_044741.1",0
"210","NR_025073.1",0
"211","NR_104935.1",0
"212","NR_104836.1",0
"213","NR_179619.1",0
"214","NR_042585.1",0
"215","NR_074906.1",0
"216","NR_115119.1",0
"217","NR_158073.1",0
"218","NR_024977.1",0
"219","NR_024988.1",0
"220","NR_041930.1",0
"221","NR_114636.1",0
"222","NR_024984.1",0
"223","NR_024982.1",0
"224","NR_025912.1",0
"225","NR_024986.1",0
"226","NR_044671.2",0
"227","NR_074620.2",0
"228","NR_025135.1",0
"229","NR_029175.1",0
"230","NR_148578.1",0
"231","NR_026032.1",0
"232","NR_118746.1",0
"233","NR_042886.1",0
"234","NR_114429.1",0
"235","NR_118657.1",0
"236","NR_179493.1",0
"237","NR_132716.1",0
"238","NR_027579.1",0
"239","NR_036777.1",0
"240","NR_115502.1",0
"241","NR_041155.1",0
"242","NR_179096.1",0
"243","NR_025863.1",0
"244","NR_179971.1",0
"245","NR_044648.2",0
"246","NR_184597.1",0
"247","NR_179117.1",0
"248","NR_179763.1",0
"249","NR_189226.1",0
"250","NR_146680.1",0
"251","NR_156906.1",0
"252","NR_165680.1",0
"253","NR_148837.1",0
"254","NR_041599.1",0
"255","NR_042334.1",0
"256","NR_199351.1",0
"257","NR_074407.1",0
"258","NR_112154.1",0
"259","NR_115154.1",0
"260","NR_176493.1",0
"261","NR_180978.1",0
"262","NR_042930.1",0
"263","NR_165780.1",0
"264","NR_026099.2",0
"265","NR_115345.1",0
"266","NR_025917.1",0
"267","NR_041235.1",0
"268","NR_102987.1",0
"269","NR_104783.1",0
"270","NR_180309.1",0
"271","NR_152684.1",0
"272","NR_024829.1",0
"273","NR_074629.1",0
"274","NR_113157.1",0
"275","NR_104848.1",0
"276","NR_136796.1",0
"277","NR_102880.1",0
"278","NR_179186.1",0
"279","NR_026121.1",0
"280","NR_118160.1",0
"281","NR_118161.1",0
"282","NR_113549.1",0
"283","NR_113673.1",0
"284","NR_115547.1",0
"285","NR_104959.1",0
"286","NR_117456.1",0
"287","NR_117457.1",0
"288","NR_025512.1",0
"289","NR_113552.1",0
"290","NR_118162.1",0
"291","NR_024771.1",0
"292","NR_113851.1",0
"293","NR_180983.1",0
"294","NR_042113.1",0
"295","NR_113630.1",0
"296","NR_118165.1",0
"297","NR_042678.1",0
"298","NR_113556.1",0
"299","NR_180984.1",0
"300","NR_113275.1",0
"301","NR_181659.1",0
"302","NR_044046.1",0
"303","NR_113555.1",0
"304","NR_028616.1",0
"305","NR_113847.1",0
"306","NR_117714.1",0
"307","NR_040832.1",0
"308","NR_113551.1",0
"309","NR_113632.1",0
"310","NR_114845.1",0
"311","NR_025513.1",0
"312","NR_113553.1",0
"313","NR_118163.1",0
"314","NR_118164.1",0
"315","NR_148647.1",0
"316","NR_043086.1",0
"317","NR_043211.1",0
"318","NR_118166.1",0
"319","NR_113546.1",0
"320","NR_028625.1",0
"321","NR_113852.1",0
"322","NR_028614.1",0
"323","NR_113548.1",0
"324","NR_113631.1",0
"325","NR_114846.1",0
"326","NR_118167.1",0
