accession,Freq,organism,organism_short
EJJ37_RS19885,764,Clostridium cuniculi,Clostridium cuniculi
C5O23_RS02360,633,Duncaniella muris,Duncaniella muris
QGT47_RS04605,74,Sangeribacter muris,Sangeribacter muris
WMO41_RS15795,69,Ventrimonas faecis,Ventrimonas faecis
FYJ59_RS13805,56,Waltera intestinalis,Waltera intestinalis
A4V03_RS15090,43,Bacteroides caecimuris,Bacteroides caecimuris
C1634_RS25770,42,Chryseobacterium viscerum,Chryseobacterium viscerum
A4V03_RS16425,36,Bacteroides caecimuris,Bacteroides caecimuris
A4V03_RS10870,33,Bacteroides caecimuris,Bacteroides caecimuris
EJJ37_RS19690,33,Clostridium cuniculi,Clostridium cuniculi
E7747_RS04435,33,Duncaniella dubosii,Duncaniella dubosii
A4V03_RS13235,32,Bacteroides caecimuris,Bacteroides caecimuris
K401_RS0107705,31,Lacrimispora indolis DSM 755,Lacrimispora indolis
EJJ37_RS19905,31,Clostridium cuniculi,Clostridium cuniculi
TY07_RS16990,31,Clostridium saudiense,Clostridium saudiense
A4V03_RS01120,29,Bacteroides caecimuris,Bacteroides caecimuris
K401_RS0108885,29,Lacrimispora indolis DSM 755,Lacrimispora indolis
K401_RS0103920,28,Lacrimispora indolis DSM 755,Lacrimispora indolis
ACEVJL_RS16740,28,Flintibacter porci,Flintibacter porci
E7747_RS01955,28,Duncaniella dubosii,Duncaniella dubosii
NFS22_RS22965,27,Flintibacter muris,Flintibacter muris
U8U01_RS16920,25,Acutalibacter caecimuris,Acutalibacter caecimuris
E7747_RS03885,24,Duncaniella dubosii,Duncaniella dubosii
E7747_RS10435,23,Duncaniella dubosii,Duncaniella dubosii
HDCHBGLK_RS06130,22,[Clostridium] scindens ATCC 35704,[Clostridium] scindens
NFR87_RS10250,20,Vermiculatibacterium agrestimuris,Vermiculatibacterium agrestimuris
NFS35_RS28840,19,Acetatifactor aquisgranensis,Acetatifactor aquisgranensis
NFR55_RS10470,19,Pumilibacter intestinalis,Pumilibacter intestinalis
NFS31_RS03035,19,Otoolea muris,Otoolea muris
LPC13_RS16675,19,Clostridium celatum,Clostridium celatum
NQ527_RS06765,18,Eshraghiella crossota,Eshraghiella crossota
BN3911_RS08790,17,Neglectibacter timonensis,Neglectibacter timonensis
E7746_RS08120,17,Muribaculum gordoncarteri,Muribaculum gordoncarteri
HDCHBGLK_RS11175,17,[Clostridium] scindens ATCC 35704,[Clostridium] scindens
