"","rad_dada2_accession_all","Freq"
"1","EJJ37_RS19885",764
"2","C5O23_RS02360",633
"3","QGT47_RS04605",74
"4","WMO41_RS15795",69
"5","FYJ59_RS13805",56
"6","A4V03_RS15090",43
"7","C1634_RS25770",42
"8","A4V03_RS16425",36
"9","A4V03_RS10870",33
"10","EJJ37_RS19690",33
"11","E7747_RS04435",33
"12","A4V03_RS13235",32
"13","K401_RS0107705",31
"14","EJJ37_RS19905",31
"15","TY07_RS16990",31
"16","A4V03_RS01120",29
"17","K401_RS0108885",29
"18","K401_RS0103920",28
"19","ACEVJL_RS16740",28
"20","E7747_RS01955",28
"21","NFS22_RS22965",27
"22","U8U01_RS16920",25
"23","E7747_RS03885",24
"24","E7747_RS10435",23
"25","HDCHBGLK_RS06130",22
"26","NFR87_RS10250",20
"27","NFS35_RS28840",19
"28","NFR55_RS10470",19
"29","NFS31_RS03035",19
"30","LPC13_RS16675",19
"31","NQ527_RS06765",18
"32","BN3911_RS08790",17
"33","E7746_RS08120",17
"34","HDCHBGLK_RS11175",17
"35","BN3911_RS00655",15
"36","BN3911_RS05175",15
"37","HDCHBGLK_RS06660",15
"38","FYJ75_RS14245",15
"39","H8S75_RS31995",15
"40","E7746_RS10045",14
"41","A4V02_RS09795",14
"42","A4V02_RS13055",14
"43","FW767_RS12700",13
"44","E7746_RS02640",13
"45","A4V02_RS10055",13
"46","OCV43_RS07155",12
"47","E7746_RS12115",11
"48","HDCHBGLK_RS02205",11
"49","NQ527_RS00050",10
"50","NQ527_RS10305",10
"51","AACH31_RS01200",10
"52","AACH31_RS03770",10
"53","HW447_RS17765",10
"54","CC90_RS0114285",9
"55","CC90_RS0121890",9
"56","EJJ37_RS19925",9
"57","RIL182_RS16740",9
"58","A4V02_RS10335",9
"59","OCV63_RS16265",8
"60","BJR36_RS19625",8
"61","AACH31_RS00170",8
"62","H8S44_RS15980",8
"63","CC90_RS0110955",7
"64","WMO45_RS13615",7
"65","BN3911_RS03680",7
"66","NQ527_RS08765",7
"67","AACH31_RS01350",7
"68","AACH31_RS08645",7
"69","AACH31_RS10690",7
"70","AACH31_RS11725",7
"71","WMO29_RS16660",7
"72","VIG27_RS01705",7
"73","CLOSA_RS00090",7
"74","CLOSA_RS17170",7
"75","LF145_RS01370",6
"76","V6984_RS13090",6
"77","NFR88_RS14990",6
"78","DFR60_RS30075",6
"79","H9Q78_RS05770",6
"80","H8S51_RS14740",6
"81","CPS94_RS05930",6
"82","AACH31_RS09645",6
"83","NSB25_RS29030",6
"84","CC90_RS0105610",5
"85","CC90_RS0115265",5
"86","WMO66_RS04830",5
"87","V6984_RS00525",5
"88","V6984_RS05095",5
"89","BN1969_RS00880",5
"90","JQM66_RS12255",5
"91","GSR62_RS01645",5
"92","GOZ73_RS01400",5
"93","RZO55_RS03020",5
"94","CGS49_RS13230",5
"95","EJJ37_RS19880",5
"96","AACH31_RS02375",5
"97","AACH31_RS10255",5
"98","VIG27_RS13720",5
"99","VIG27_RS16540",5
"100","CLOSA_RS03680",5
"101","BTM20_RS00040",5
"102","OCV65_RS12415",5
"103","LF145_RS06120",4
"104","FYJ39_RS20335",4
"105","K401_RS0106290",4
"106","K401_RS0114760",4
"107","DS742_RS20440",4
"108","INE92_RS15370",4
"109","NFR62_RS10110",4
"110","H8S51_RS04225",4
"111","D2E22_RS10360",4
"112","CPS94_RS07100",4
"113","CPS94_RS08085",4
"114","ABCW45_RS17750",4
"115","AACH31_RS00735",4
"116","AACH31_RS10045",4
"117","RIL182_RS03480",4
"118","EBB54_RS23885",4
"119","CLOSA_RS00955",4
"120","H8S17_RS15615",4
"121","BTM20_RS01595",4
"122","BLS20_RS00005",4
"123","E5329_RS28955",3
"124","GSR62_RS01150",3
"125","GSR62_RS02255",3
"126","GSR62_RS02675",3
"127","GOZ73_RS04360",3
"128","K401_RS0113585",3
"129","H9Q78_RS08355",3
"130","H9Q78_RS08950",3
"131","MWL92_RS00270",3
"132","CPS94_RS00545",3
"133","CGZ88_RS08785",3
"134","H9Q75_RS12525",3
"135","BcFMB_RS02205",3
"136","AACH31_RS00225",3
"137","AACH31_RS10950",3
"138","FME97_RS02500",3
"139","ACYQ1T_RS06155",3
"140","QFX10_RS02565",3
"141","EBB54_RS29665",3
"142","AAK988_RS11275",3
"143","VIG27_RS00065",3
"144","VIG27_RS14430",3
"145","SRB521_RS03380",3
"146","CLOSA_RS01930",3
"147","BP20092_RS01360",3
"148","PRK60_RS02270",3
"149","BTM20_RS01560",3
"150","BTM20_RS01650",3
"151","BTM20_RS01805",3
"152","B1526_RS08810",2
"153","LF145_RS00550",2
"154","V6984_RS01470",2
"155","H0I41_RS07945",2
"156","H0I41_RS08885",2
"157","FD32_RS07055",2
"158","DTK66_RS10740",2
"159","E0E29_RS05050",2
"160","C6H63_RS05955",2
"161","C6H63_RS02105",2
"162","C6H63_RS08550",2
"163","CP523_RS09895",2
"164","GOZ73_RS06490",2
"165","NQ528_RS17735",2
"166","DY260_RS01970",2
"167","INE92_RS12295",2
"168","INE92_RS23435",2
"169","WMO64_RS16975",2
"170","H8S51_RS17915",2
"171","QJ036_RS08465",2
"172","MWL92_RS05170",2
"173","WHJ28_RS16390",2
"174","C0979_RS11740",2
"175","CPS94_RS06365",2
"176","CPS94_RS10345",2
"177","BEN51_RS00040",2
"178","BEN51_RS13045",2
"179","BUA79_RS12150",2
"180","EJJ37_RS19920",2
"181","G9470_RS25130",2
"182","H1A07_RS07605",2
