silva_id,Freq,organism_short
EF603126.1.1475;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;uncultured;bacterium,184,uncultured bacterium
AB969399.1.1506;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;sensu;stricto;1;uncultured;bacterium,129,uncultured bacterium
EF099195.1.1401;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,103,uncultured bacterium
EU474413.1.1398;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,99,uncultured bacterium
EU474236.1.1405;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,90,uncultured bacterium
AM932633.1.1324;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,89,uncultured bacterium
EU506153.1.1399;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,87,uncultured bacterium
HM307928.1.1364;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,87,uncultured bacterium
EF406534.1.1514;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,72,uncultured bacterium
EF406414.1.1506;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,71,uncultured bacterium
EF603141.1.1487;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,71,uncultured bacterium
JQ084858.1.1538;Bacteria;Firmicutes;Bacilli;RF39;uncultured;bacterium,71,uncultured bacterium
EF097317.1.1395;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,67,uncultured bacterium
EF406671.1.1517;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,64,uncultured bacterium
EF604688.1.1500;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;NK4A136;group;uncultured;bacterium,64,uncultured bacterium
AJ400267.1.1500;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,58,uncultured bacterium
EU451123.1.1402;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,57,uncultured bacterium
EF406789.1.1507;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,54,uncultured bacterium
EU452936.1.1353;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,54,uncultured bacterium
JQ085232.1.1494;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae;Sedis;uncultured;bacterium,54,uncultured bacterium
EU451148.1.1407;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,53,uncultured bacterium
EF097581.1.1402;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,53,uncultured bacterium
EU511839.1.1415;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,52,uncultured bacterium
JN013017.1.1459;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,51,uncultured bacterium
EF406419.1.1508;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,50,uncultured bacterium
EF603122.1.1484;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,48,uncultured bacterium
EU454281.1.1411;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,48,uncultured bacterium
EU504160.1.1414;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,47,uncultured bacterium
EU453137.1.1406;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,45,uncultured bacterium
EU006469.1.1450;Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Anaeroplasma;uncultured;bacterium,44,uncultured bacterium
JN001243.1.1470;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,43,uncultured bacterium
EU504424.1.1412;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,43,uncultured bacterium
EF406813.1.1467;Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Anaeroplasma;uncultured;bacterium,42,uncultured bacterium
JN001241.1.1462;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,42,uncultured bacterium
AB702741.1.1405;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;Bacteroidales;bacterium,41,Bacteroidales bacterium
EF406616.1.1505;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,41,uncultured bacterium
JN013055.1.1458;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,41,uncultured bacterium
EU510172.1.1405;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,41,uncultured bacterium
EF096579.1.1409;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,41,uncultured bacterium
EU454948.1.1332;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,38,uncultured bacterium
EU510127.1.1406;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;NK4A136;group;uncultured;bacterium,38,uncultured bacterium
EU456364.1.1413;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,38,uncultured bacterium
EU509561.1.1379;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;NK4A136;group;uncultured;bacterium,37,uncultured bacterium
EF603848.1.1496;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,36,uncultured bacterium
JN012649.1.1459;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;NK4A136;group;uncultured;bacterium,36,uncultured bacterium
EU504318.1.1397;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,34,uncultured bacterium
EU474224.1.1395;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;NK4A136;group;uncultured;bacterium,33,uncultured bacterium
HQ681765.1.1449;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;NK4A136;group;uncultured;bacterium,33,uncultured bacterium
EU510249.1.1410;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,33,uncultured bacterium
EU474349.1.1410;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;NK4A136;group;uncultured;bacterium,32,uncultured bacterium
EF406567.1.1514;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;NK4A136;group;uncultured;bacterium,31,uncultured bacterium
EU451053.1.1406;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,31,uncultured bacterium
EU457332.1.1406;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;NK4A136;group;uncultured;bacterium,30,uncultured bacterium
