accession,Freq,organism,organism_short
NR_179975.1,633,"Duncaniella muris strain 129-Nlrp6 16S ribosomal RNA, partial sequence",Duncaniella muris
NR_144606.1,166,"Bacteroides caecimuris strain I48 16S ribosomal RNA, partial sequence",Bacteroides caecimuris
NR_147396.1,129,"Clostridium pacaense strain Marseille-P3100 16S ribosomal RNA, partial sequence",Clostridium pacaense
NR_170508.1,109,"Duncaniella dubosii strain H5 16S ribosomal RNA, partial sequence",Duncaniella dubosii
NR_181198.1,85,"Turicibacter bilis strain MMM721 16S ribosomal RNA, partial sequence",Turicibacter bilis
NR_180833.1,83,"Waltera intestinalis strain WCA3-601-WT-6H 16S ribosomal RNA, partial sequence",Waltera intestinalis
NR_181880.1,74,"Sangeribacter muris strain A43 16S ribosomal RNA, partial sequence",Sangeribacter muris
NR_144696.1,72,"Clostridium saudiense strain JCC 16S ribosomal RNA, partial sequence",Clostridium saudiense
NR_028785.1,62,"[Clostridium] scindens strain ATCC 35704 16S ribosomal RNA, partial sequence",[Clostridium] scindens
NR_026491.1,55,"Clostridium disporicum strain DS1 16S ribosomal RNA, partial sequence",Clostridium disporicum
NR_180431.1,55,"Muribaculum gordoncarteri strain TLL-A4 16S ribosomal RNA, complete sequence",Muribaculum gordoncarteri
NR_180825.1,54,"Roseburia porci strain MUC/MUC-530-WT-4D 16S ribosomal RNA, partial sequence",Roseburia porci
NR_144616.1,50,"Muribaculum intestinale strain YL27 16S ribosomal RNA, partial sequence",Muribaculum intestinale
NR_197729.1,36,"Acutalibacter caecimuris strain M00118 16S ribosomal RNA, partial sequence",Acutalibacter caecimuris
NR_144611.1,35,"Flintibacter butyricus strain BLS21 16S ribosomal RNA, partial sequence",Flintibacter butyricus
NR_144736.1,34,"Neglectibacter timonensis strain SN17 16S ribosomal RNA, partial sequence",Neglectibacter timonensis
NR_178255.1,31,"Fusimonas intestini strain AJ110941 16S ribosomal RNA, partial sequence",Fusimonas intestini
NR_179173.1,26,"Clostridium fessum strain SNUG30386 16S ribosomal RNA, partial sequence",Clostridium fessum
NR_156079.1,23,"Kineothrix alysoides strain KNHs209 16S ribosomal RNA, partial sequence",Kineothrix alysoides
NR_179587.1,22,"Lachnoclostridium edouardi strain Marseille-P3397 16S ribosomal RNA, partial sequence",Lachnoclostridium edouardi
NR_200000.1,21,"Flintibacter porci strain P01025 16S ribosomal RNA, partial sequence",Flintibacter porci
NR_156081.1,18,"Kineothrix alysoides strain KNHs209 16S ribosomal RNA, partial sequence",Kineothrix alysoides
NR_026493.1,18,"Lacrimispora indolis strain 7 16S ribosomal RNA, partial sequence",Lacrimispora indolis
NR_027557.1,18,"Roseburia intestinalis L1-82 16S ribosomal RNA, partial sequence",Roseburia intestinalis
NR_156078.1,17,"Kineothrix alysoides strain KNHs209 16S ribosomal RNA, partial sequence",Kineothrix alysoides
NR_156080.1,17,"Kineothrix alysoides strain KNHs209 16S ribosomal RNA, partial sequence",Kineothrix alysoides
NR_117758.1,16,"Roseburia intestinalis strain DSM 14610 16S ribosomal RNA, partial sequence",Roseburia intestinalis
NR_181395.1,14,"Qiania dongpingensis strain NSJ-38 16S ribosomal RNA, partial sequence",Qiania dongpingensis
NR_199906.1,13,"Kineothrix sedimenti strain IPX_CK 16S ribosomal RNA, complete sequence",Kineothrix sedimenti
NR_043680.1,12,"Enterocloster aldenensis strain RMA 9741 16S ribosomal RNA, partial sequence",Enterocloster aldenensis
NR_180717.1,12,"Heminiphilus faecis strain AM35 16S ribosomal RNA, partial sequence",Heminiphilus faecis
NR_181393.1,12,"Jutongia hominis strain BX3 16S ribosomal RNA, partial sequence",Jutongia hominis
NR_102852.1,12,"Lacrimispora saccharolytica strain WM1 16S ribosomal RNA, partial sequence",Lacrimispora saccharolytica
NR_042367.1,12,"Ligilactobacillus apodemi strain ASB1 16S ribosomal RNA, partial sequence",Ligilactobacillus apodemi
NR_114391.1,12,"Ligilactobacillus faecis strain AFL13-2 16S ribosomal RNA, partial sequence",Ligilactobacillus faecis
NR_112689.1,12,"Ligilactobacillus murinus strain NBRC 14221 16S ribosomal RNA, partial sequence",Ligilactobacillus murinus
NR_133762.1,11,"Hungatella effluvii strain UB-B.2 16S ribosomal RNA, partial sequence",Hungatella effluvii
NR_115211.1,11,"Lacrimispora amygdalina strain BR-10 16S ribosomal RNA, partial sequence",Lacrimispora amygdalina
NR_197731.1,10,"Acutalibacter intestini strain M00204 16S ribosomal RNA, partial sequence",Acutalibacter intestini
NR_199990.1,10,"Kineothrix sedimenti strain IPX_CK 16S ribosomal RNA, partial sequence",Kineothrix sedimenti
NR_028607.1,9,"Bacteroides acidifaciens strain A40 16S ribosomal RNA, partial sequence",Bacteroides acidifaciens
NR_179410.1,9,"Clostridium phoceensis strain GD3 16S ribosomal RNA, partial sequence",Clostridium phoceensis
NR_156077.1,9,"Kineothrix alysoides strain KNHs209 16S ribosomal RNA, partial sequence",Kineothrix alysoides
NR_165013.1,9,"Schaedlerella arabinosiphila strain TLL-A1 16S ribosomal RNA, partial sequence",Schaedlerella arabinosiphila
NR_026204.1,8,"[Clostridium] viride strain T2-7 16S ribosomal RNA, partial sequence",[Clostridium] viride
NR_180399.1,8,"Bifidobacterium castoris strain LMG 30937 16S ribosomal RNA, partial sequence",Bifidobacterium castoris
NR_026494.1,7,"Lacrimispora saccharolytica strain WM1 16S ribosomal RNA, partial sequence",Lacrimispora saccharolytica
NR_173697.1,7,"Lawsonibacter asaccharolyticus strain 3BBH22 16S ribosomal RNA, partial sequence",Lawsonibacter asaccharolyticus
NR_112752.1,7,"Ligilactobacillus apodemi strain DSM 16634 16S ribosomal RNA, partial sequence",Ligilactobacillus apodemi
NR_117905.1,6,"Acetatifactor muris strain CT-m2 16S ribosomal RNA, partial sequence",Acetatifactor muris
NR_025796.1,6,"Anaerocolumna jejuensis strain HY-35-12 16S ribosomal RNA, partial sequence",Anaerocolumna jejuensis
NR_043441.2,6,"Bifidobacterium pseudolongum subsp. globosum strain RU 224 16S ribosomal RNA, partial sequence",Bifidobacterium pseudolongum
NR_179631.1,6,"Corynebacterium dentalis strain Marseille-P4122 16S ribosomal RNA, partial sequence",Corynebacterium dentalis
NR_041610.1,6,"Ligilactobacillus animalis strain KCTC 3501 16S ribosomal RNA, partial sequence",Ligilactobacillus animalis
NR_042231.1,6,"Ligilactobacillus murinus strain LMG 14189 16S ribosomal RNA, partial sequence",Ligilactobacillus murinus
NR_074436.1,5,"Akkermansia muciniphila strain ATCC BAA-835 16S ribosomal RNA, partial sequence",Akkermansia muciniphila
NR_042817.1,5,"Akkermansia muciniphila ATCC BAA-835 strain Muc 16S ribosomal RNA, partial sequence",Akkermansia muciniphila
NR_042200.1,5,"Enterocloster asparagiformis strain N6 16S ribosomal RNA, partial sequence",Enterocloster asparagiformis
NR_144749.1,5,"Ihubacter massiliensis strain Marseille-P2843 16S ribosomal RNA, partial sequence",Ihubacter massiliensis
NR_118554.1,5,"Intestinimonas butyriciproducens strain SRB-521-5-I 16S ribosomal RNA, partial sequence",Intestinimonas butyriciproducens
NR_180048.1,5,"Lacrimispora amygdalina strain PI-S10-A1B 16S ribosomal RNA, partial sequence",Lacrimispora amygdalina
NR_024917.1,5,"Lacrimispora indolis SR3 16S ribosomal RNA, partial sequence",Lacrimispora indolis
NR_199462.1,5,"Lacrimispora sinapis strain JR3 16S ribosomal RNA, partial sequence",Lacrimispora sinapis
NR_041920.1,5,"Lactobacillus gasseri ATCC 33323 = JCM 1131 16S ribosomal RNA, partial sequence",Lactobacillus gasseri
NR_026310.1,5,"Limosilactobacillus panis strain DSM 6035 16S ribosomal RNA, partial sequence",Limosilactobacillus panis
NR_117375.1,5,"Streptococcus danieliae strain ERD01G 16S ribosomal RNA, partial sequence",Streptococcus danieliae
NR_027558.1,4,"Anaerotruncus colihominis strain WAL 14565 16S ribosomal RNA, partial sequence",Anaerotruncus colihominis
NR_037116.1,4,"Bifidobacterium choerinum strain Su 806 16S ribosomal RNA, partial sequence",Bifidobacterium choerinum
NR_104735.1,4,"Eshraghiella crossota strain DSM 2876 16S ribosomal RNA, partial sequence",Eshraghiella crossota
NR_125548.1,4,"Lactobacillus hominis DSM 23910 = CRBIP 24.179 16S ribosomal RNA, partial sequence",Lactobacillus hominis
NR_181344.1,4,"Limosilactobacillus balticus strain BG-AF3-A 16S ribosomal RNA, partial sequence",Limosilactobacillus balticus
NR_025371.1,4,"Limosilactobacillus frumenti strain TMW 1.666 16S ribosomal RNA, partial sequence",Limosilactobacillus frumenti
NR_119069.1,4,"Limosilactobacillus reuteri subsp. reuteri strain DSM 20016 16S ribosomal RNA, partial sequence",Limosilactobacillus reuteri
NR_181430.1,4,"Limosilactobacillus urinaemulieris strain c9Ua_26_M 16S ribosomal RNA, partial sequence",Limosilactobacillus urinaemulieris
NR_144609.1,3,"Adlercreutzia muris strain WCA-131-CoC-2 16S ribosomal RNA, partial sequence",Adlercreutzia muris
NR_179296.1,3,"Alistipes dispar strain 5CPEGH6 16S ribosomal RNA, partial sequence",Alistipes dispar
NR_112931.1,3,"Bacteroides acidifaciens strain JCM 10556 16S ribosomal RNA, partial sequence",Bacteroides acidifaciens
NR_119165.1,3,"Bacteroides ovatus strain ATCC 8483 16S ribosomal RNA, partial sequence",Bacteroides ovatus
NR_042499.1,3,"Bacteroides xylanisolvens XB1A 16S ribosomal RNA, partial sequence",Bacteroides xylanisolvens
NR_043442.2,3,"Bifidobacterium pseudolongum strain PNC-2-9G 16S ribosomal RNA, partial sequence",Bifidobacterium pseudolongum
NR_179423.1,3,"Intestinimonas timonensis strain GD4 16S ribosomal RNA, partial sequence",Intestinimonas timonensis
NR_075051.2,3,"Lactobacillus gasseri ATCC 33323 = JCM 1131 16S ribosomal RNA, complete sequence",Lactobacillus gasseri
NR_117574.1,3,"Lactobacillus johnsonii strain CIP 103620 16S ribosomal RNA, partial sequence",Lactobacillus johnsonii
NR_179379.1,3,"Lactobacillus paragasseri strain JCM 5343 16S ribosomal RNA, partial sequence",Lactobacillus paragasseri
NR_181345.1,3,"Limosilactobacillus agrestis strain WF-MT5-A 16S ribosomal RNA, partial sequence",Limosilactobacillus agrestis
NR_181346.1,3,"Limosilactobacillus albertensis strain Lr3000 16S ribosomal RNA, partial sequence",Limosilactobacillus albertensis
NR_026309.1,3,"Limosilactobacillus oris strain DSM 4864 16S ribosomal RNA, partial sequence",Limosilactobacillus oris
NR_113820.1,3,"Limosilactobacillus reuteri strain NBRC 15892 16S ribosomal RNA, partial sequence",Limosilactobacillus reuteri
NR_075036.1,3,"Limosilactobacillus reuteri subsp. reuteri strain DSM 20016 16S ribosomal RNA, partial sequence",Limosilactobacillus reuteri
NR_181347.1,3,"Limosilactobacillus rudii strain STM3_1 16S ribosomal RNA, partial sequence",Limosilactobacillus rudii
NR_025670.1,3,"Pseudoflavonifractor capillosus ATCC 29799 16S ribosomal RNA, partial sequence",Pseudoflavonifractor capillosus
NR_147370.1,3,"Pseudoflavonifractor phocaeensis strain Marseille-P3064 16S ribosomal RNA, partial sequence",Pseudoflavonifractor phocaeensis
NR_112089.1,2,"[Clostridium] hylemonae DSM 15053 strain TN-271 16S ribosomal RNA, partial sequence",[Clostridium] hylemonae
NR_119285.1,2,"[Clostridium] scindens strain DSM 5676 16S ribosomal RNA, partial sequence",[Clostridium] scindens
NR_044713.2,2,"Acetitomaculum ruminis strain 139B 16S ribosomal RNA, partial sequence",Acetitomaculum ruminis
NR_025651.1,2,"Anaerotignum lactatifermentans strain G17 16S ribosomal RNA, partial sequence",Anaerotignum lactatifermentans
NR_112940.1,2,"Bacteroides ovatus strain JCM 5824 16S ribosomal RNA, partial sequence",Bacteroides ovatus
NR_026167.1,2,"Clostridium celatum strain DSM 1785 16S ribosomal RNA, partial sequence",Clostridium celatum
NR_178356.1,2,"Clostridium geopurificans strain MJ1 16S ribosomal RNA, partial sequence",Clostridium geopurificans
